id,book_id,books_count,authors,original_title,title,language_code,original_publication_year
2724,27323,102,John Hersey,Hiroshima,Hiroshima,eng,1946
2725,6316171,33,Jennifer Brown,Hate List,Hate List,eng,2009
2726,15283043,21,Kasie West,,The Distance Between Us,eng,2013
2727,3873,66,Karen Armstrong,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam","A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",eng,1975
2728,16131032,35,James S.A. Corey,Abaddon's Gate,"Abaddon's Gate (The Expanse, #3)",eng,2013
2729,5932,179,"Pablo Neruda, W.S. Merwin, Cristina García",Veinte poemas de amor y una canción desesperada,Twenty Love Poems and a Song of Despair,eng,1924
2730,382549,76,Tom Clancy,The Cardinal of the Kremlin,"The Cardinal of the Kremlin (Jack Ryan Universe, #5)",en-US,1988
2731,1062516,15,David Shannon,"No, David!","No, David!",en-US,1998
2732,18414,810,"Thomas More, Paul Turner","Libellus vere aureus, nec minus salutaris quam festivus, de optimo rei publicae statu deque nova insula Utopia",Utopia,eng,1516
2733,1099301,46,"Pseudonymous Bosch, Gilbert Ford",The Name of This Book Is Secret,"The Name of This Book Is Secret (Secret, #1)",en-US,2007
2734,18053060,20,Danielle  Paige,Dorothy Must Die,"Dorothy Must Die (Dorothy Must Die, #1)",eng,2014
2735,16429,67,Dean Koontz,The Husband,The Husband,eng,2006
2736,7048800,45,Aimee Bender,The Particular Sadness of Lemon Cake,The Particular Sadness of Lemon Cake,eng,2010
2737,6588,80,James Patterson,The Big Bad Wolf,"The Big Bad Wolf  (Alex Cross, #9)",en-US,2003
2738,533465,45,"Dai Sijie, Ina Rilke",Balzac et la Petite Tailleuse chinoise,Balzac and the Little Chinese Seamstress,en-US,2000
2739,18813642,25,Roxane Gay,Bad Feminist,Bad Feminist,eng,2014
2740,226709,79,V.C. Andrews,Petals on the Wind,"Petals on the Wind (Dollanganger, #2)",en-US,1980
2742,9160695,49,Amy Chua,,Battle Hymn of the Tiger Mother,eng,2011
2743,19351043,22,Noelle Stevenson,Nimona,Nimona,eng,2015
2745,6537,108,Patricia Cornwell,From Potter's Field,"From Potter's Field (Kay Scarpetta, #6)",eng,1995
2746,84736,85,James Patterson,"Mary, Mary","Mary, Mary (Alex Cross, #11)",eng,2005
2747,15055,66,Jeanette Winterson,Oranges Are Not the Only Fruit,Oranges Are Not the Only Fruit,eng,1985
2748,16139641,8,R.K. Lilley,Grounded (Up In The Air #3),"Grounded (Up in the Air, #3)",en-GB,2013
2749,19427193,10,Ravinder Singh,I Too Had A Love Story,I Too Had a Love Story,eng,2007
2750,25051,31,"Betty MacDonald, Alexandra Boiger",Mrs. Piggle-Wiggle,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",eng,1947
2751,58962,99,Michael Connelly,Trunk Music,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",eng,1997
2752,18505796,29,Dan   Harris,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works","10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",eng,2014
2754,32504,105,Michael Connelly,Blood Work,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",eng,1998
2755,41821,100,Isaac Asimov,The Gods Themselves,The Gods Themselves,eng,1972
2756,6393047,25,Peter Lerangis,,"The Viper's Nest (39 Clues, #7)",eng,2010
2757,7742,29,Sena Jeter Naslund,,"Ahab's Wife, or The Star-Gazer",en-US,1999
2758,13570,15,"CLAMP, Anthony Gerard",ツバサ-RESERVoir CHRoNiCLE- 1,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 01",eng,2004
2760,297627,36,"Alan Moore, Kevin O'Neill","The League of Extraordinary Gentlemen, Vol. I","The League of Extraordinary Gentlemen, Vol. 1",eng,2000
2761,169756,32,M.T. Anderson,Feed,Feed,eng,2002
2762,3819326,38,Nalini Singh,,"Angels' Blood (Guild Hunter, #1)",eng,2009
2763,752900,304,"Euripides, Rex Warner",Mήδεια,Medea,en-GB,-431
2764,6342491,28,Cinda Williams Chima,The Demon King,"The Demon King (Seven Realms, #1)",en-US,2009
2766,38333,24,Charles Burns,Black Hole,Black Hole,eng,1995
2767,19358975,22,"Brian K. Vaughan, Fiona Staples","Saga, Volume Three","Saga, Vol. 3 (Saga, #3)",eng,2014
2768,20263040,64,Lee Child,Personal,"Personal (Jack Reacher, #19)",eng,2014
2769,15994634,32,Therese Anne Fowler,Z: A Novel of Zelda Fitzgerald,Z: A Novel of Zelda Fitzgerald,eng,2013
2770,4979,64,Kurt Vonnegut Jr.,A Man Without a Country,A Man Without a Country,eng,2005
2771,17667452,25,Catherine Ryan Hyde,When I Found You,When I Found You,en,2009
2772,25893693,20,Martha Hall Kelly,Lilac Girls,Lilac Girls,eng,2016
2773,552894,57,"James Patterson, Maxine Paetro",7th Heaven,"7th Heaven (Women's Murder Club, #7)",eng,2008
2774,23664710,48,Lee Child,Make Me,"Make Me (Jack Reacher, #20)",en-US,2015
2775,18428067,49,Anthony Marra,A Constellation of Vital Phenomena,A Constellation of Vital Phenomena,eng,2013
2776,13496738,23,Abbi Glines,While It Lasts,"While It Lasts (Sea Breeze, #3)",eng,2012
2777,13414676,41,Will Schwalbe,The End of Your Life Bookclub,The End of Your Life Book Club,eng,2012
2779,16001443,25,Raine Miller,All in,"All In (The Blackstone Affair, #2)",eng,2012
2780,1814843,44,John Flanagan,The Siege of Macindaw,"The Siege of Macindaw (Ranger's Apprentice, #6)",eng,2006
2781,49221,87,C.S. Lewis,A Grief Observed,A Grief Observed,en-US,1961
2782,22416,13,"Warren Ellis, Darick Robertston, Garth Ennis","Transmetropolitan, Vol. 1: Back on the Street","Transmetropolitan, Vol. 1: Back on the Street (Transmetropolitan, #1)",eng,1998
2783,13833,35,Tamora Pierce,"Emperor Mage (Immortals, #3)","Emperor Mage (Immortals, #3)",en-US,1994
2784,8099187,39,George W. Bush,Decision Points,Decision Points,eng,2010
2785,6387565,67,"James Patterson, Gabrielle Charbonnet",Witch & Wizard,"Witch & Wizard (Witch & Wizard, #1)",eng,2009
2786,386286,71,"Jean Craighead George, John Schoenherr",Julie of the Wolves,"Julie of the Wolves (Julie of the Wolves, #1)",eng,1972
2787,37743,47,Judy Blume,Forever . . .,Forever . . .,eng,1975
2788,22609391,30,David McCullough,The Wright Brothers,The Wright Brothers,eng,2015
2790,3147367,17,Jon Meacham,American Lion: Andrew Jackson in the White House,American Lion: Andrew Jackson in the White House,en-US,2008
2791,15842230,45,David Baldacci,The Forgotten,"The Forgotten (John Puller, #2)",eng,2012
2792,16065004,25,Brandon Sanderson,Shadows of Self,"Shadows of Self (Mistborn, #5)",eng,2015
2793,17262155,89,Helen Fielding,Mad About the Boy,"Mad About the Boy (Bridget Jones, #3)",eng,2013
2794,30633,85,C.S. Lewis,The Four Loves,The Four Loves,en-US,1960
2795,20639274,41,Mia Sheridan,Archer's Voice,Archer's Voice,eng,2014
2796,11010251,39,Alyson Richman,The Lost Wife,The Lost Wife,eng,2011
2797,10505,50,"Umberto Eco, Girolamo De Michele, Alastair McEwen",Storia della bellezza,History of Beauty,eng,2004
2798,18765,152,Robert Graves,"I, Claudius","I, Claudius (Claudius, #1)",eng,1934
2799,13326831,42,Joelle Charbonneau,The Testing,"The Testing (The Testing, #1)",eng,2013
2800,17908462,27,Janet Evanovich,Takedown Twenty,"Takedown Twenty (Stephanie Plum, #20)",en-US,2013
2801,13628209,17,Kirsty Moseley,The Boy Who Sneaks in My Bedroom Window,The Boy Who Sneaks in My Bedroom Window,en-GB,2011
2802,13829,23,Tamora Pierce,Terrier,"Terrier (Beka Cooper, #1)",eng,2006
2803,8788554,41,Darynda Jones,First Grave on the Right,"First Grave on the Right (Charley Davidson, #1)",en-US,2011
2804,18039963,28,"Amanda Lindhout, Sara Corbett",A House in the Sky,A House in the Sky,eng,2013
2805,9615347,18,Vera Brosgol,Anya's Ghost,Anya's Ghost,eng,2011
2806,9912,68,Bret Easton Ellis,The Rules of Attraction,The Rules of Attraction,eng,1987
2807,30262,47,Kim Harrison,"The Good, the Bad, and the Undead","The Good, the Bad, and the Undead (The Hollows, #2)",en-US,2005
2808,66693,44,R.A. Salvatore,The Crystal Shard,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",eng,1988
2809,44597,97,Jean Rhys,Wide Sargasso Sea,Wide Sargasso Sea,eng,1966
2810,16286,94,John Fowles,The Magus,The Magus,en-US,1965
2811,189811,46,David Eddings,King of the Murgos,"King of the Murgos (The Malloreon, #2)",en-GB,1988
2813,20821614,45,Caroline Kepnes,You,"You (You, #1)",eng,2014
2814,13618440,67,Laini Taylor,Dreams of Gods & Monsters,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",eng,2014
2815,1205297,66,John Grisham,Playing For Pizza,Playing for Pizza,en-US,2007
2816,9284655,50,Colleen Houck,Tiger's Curse,"Tiger's Curse (The Tiger Saga, #1)",eng,2011
2817,105,72,Frank Herbert,Chapterhouse: Dune,Chapterhouse: Dune (Dune Chronicles #6),eng,1985
2818,20821284,17,Jacqueline Woodson,Brown Girl Dreaming,Brown Girl Dreaming,eng,2014
2819,7094569,28,Mira Grant,Feed,"Feed (Newsflesh Trilogy, #1)",en-US,2010
2820,3476,27,Gwyn Hyman Rubio,Icy Sparks,Icy Sparks,eng,1998
2821,77394,6,L.M. Montgomery,Rainbow Valley,"Anne's House of Dreams (Anne of Green Gables, #5)",eng,1917
2822,75024,68,Steve Berry,The Templar Legacy,"The Templar Legacy (Cotton Malone, #1)",en-US,2006
2823,89165,55,Sue Grafton,J is for Judgment (Kinsey Millhone #10),"J is for Judgment (Kinsey Millhone, #10)",eng,1993
2824,4836308,68,Katherine Howe,The Physick Book of Deliverance Dane,The Physick Book of Deliverance Dane,en-US,2009
2825,55401,54,Steven Erikson,Deadhouse Gates,"Deadhouse Gates (The Malazan Book of the Fallen, #2)",eng,2000
2826,17983690,42,Kylie Scott,Lick,"Lick (Stage Dive, #1)",eng,2013
2828,2315892,63,Joe Abercrombie,Best Served Cold,Best Served Cold,eng,2009
2829,18635113,66,Emma Healey,Elizabeth Is Missing,Elizabeth Is Missing,eng,2014
2830,154424,42,Vince Flynn,Consent to Kill,"Consent to Kill (Mitch Rapp, #8)",en-US,2005
2831,8171378,26,Isabel Wilkerson,The Warmth of Other Suns: The Epic Story of America's Great Migration,The Warmth of Other Suns: The Epic Story of America's Great Migration,eng,2010
2832,20706317,51,Claire North,The First Fifteen Lives of Harry August,The First Fifteen Lives of Harry August,eng,2014
2834,11366,68,"Barbara W. Tuchman, Robert K. Massie",The Guns of August,The Guns of August,eng,1962
2835,937249,48,Vince Flynn,Separation of Power,"Separation of Power (Mitch Rapp, #5)",en-US,2001
2836,71865,78,John Marsden,"Tomorrow, When the War Began","Tomorrow, When the War Began (Tomorrow, #1)",en-US,1993
2837,6514074,58,"Robert M. Edsel, Bret Witter","Monuments Men: Allied Heroes, Nazi Thieves and the Greatest Treasure Hunt in History","The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",en-US,2009
2838,18140047,60,Ava Dellaira,Love Letters to the Dead,Love Letters to the Dead,eng,2014
2839,10776793,24,Helen Bryan,War Brides,War Brides,en-CA,2007
2840,27071490,56,Yaa Gyasi,Homegoing,Homegoing,eng,2016
2841,7237456,36,Mary Roach,Packing for Mars: The Curious Science of Life in the Void,Packing for Mars: The Curious Science of Life in the Void,en-US,2010
2842,3410425,51,David Baldacci,Divine Justice,"Divine Justice (Camel Club, #4)",en-US,2008
2843,3918010,30,"Mark Millar, John Romita Jr., Rob Liefeld",Kick-Ass,"Kick-Ass (Kick-Ass, #1)",eng,2010
2844,408615,47,"Immaculée Ilibagiza, Steve Erwin",Left to Tell: Discovering God Amidst the Rwandan Holocaust,Left to Tell: Discovering God Amidst the Rwandan Holocaust,eng,2006
2845,6686101,36,Michael  Grant,Plague,"Plague (Gone, #4)",en-US,2011
2846,5344,773,Charles Dickens,Hard Times: For These Times,Hard Times,eng,1854
2847,16033842,131,Joël Dicker,La Vérité sur l'affaire Harry Quebert,La Vérité sur l'affaire Harry Quebert,fre,2011
2848,3722183,58,Kate Atkinson,A God in Ruins,A God in Ruins,eng,2015
2850,46202,54,Maria V. Snyder,Magic Study,"Magic Study (Study, #2)",eng,2006
2851,667985,14,"CLAMP, Shirley Kubo",ちょびっツ #1,"Chobits, Vol. 1",eng,2001
2852,57891,36,"Koushun Takami, Yuji Oniki",バトル・ロワイアル,Battle Royale,eng,1999
2853,5126859,31,Sarah Addison Allen,The Girl Who Chased the Moon,The Girl Who Chased the Moon,en-US,2010
2854,107301,114,Nevil Shute,A Town Like Alice,A Town Like Alice,eng,1950
2855,18667945,35,Sophia Amoruso,,#GIRLBOSS,eng,2014
2856,2485785,43,Diane Chamberlain,The Secret Life Of CeeCee Wilkes,The Secret Life of CeeCee Wilkes,eng,2006
2857,188230,72,Elizabeth Peters,Crocodile on the Sandbank,Crocodile on the Sandbank (Amelia Peabody #1),en-US,1975
2858,6070950,68,Nora Roberts,Bed of Roses,"Bed of Roses (Bride Quartet, #2)",eng,2009
2859,19670,57,Tom Clancy,Debt of Honor,"Debt of Honor (Jack Ryan Universe, #8)",en-US,1994
2860,17343,70,C.S. Lewis,Till We Have Faces,Till We Have Faces,en-US,1956
2861,224500,91,Anthony Horowitz,Point Blanc,"Point Blank (Alex Rider, #2)",en-US,2001
2863,93794,45,Daniel Silva,The Kill Artist,"The Kill Artist (Gabriel Allon, #1)",eng,2000
2864,490867,20,Mo Willems,Knuffle Bunny:  A Cautionary Tale,"Knuffle Bunny: A Cautionary Tale (Knuffle Bunny, #1)",eng,2004
2865,47558,8,Edward Gorey,The Gashlycrumb Tinies,"The Gashlycrumb Tinies (The Vinegar Works, #1)",eng,1963
2866,13147230,43,"Terry Pratchett, Stephen Baxter",The Long Earth,"The Long Earth (The Long Earth, #1)",eng,2012
2867,1319,29,"Steven Pressfield, Robert McKee",The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,en-US,2002
2868,13223520,14,Abbi Glines,,"Existence (Existence Trilogy, #1)",eng,2004
2869,11438,72,Raymond Carver,What We Talk About When We Talk About Love: Stories,What We Talk About When We Talk About Love,eng,1981
2870,104379,39,Sarah Dessen,That Summer,That Summer,eng,1996
2871,10790290,21,Michael J. Sullivan,Theft of Swords,"Theft of Swords (The Riyria Revelations, #1-2)",eng,2011
2872,17286747,25,Diane Chamberlain,Necessary Lies,"Necessary Lies (Necessary Lies, #1)",eng,2013
2873,218467,29,"Larry Niven, Jerry Pournelle",Lucifer's Hammer,Lucifer's Hammer,en-US,1977
2874,114144,74,Nora Roberts,Montana Sky,Montana Sky,eng,1996
2875,31548,343,"W. Somerset Maugham, Benjamin DeMott, Maeve Binchy",Of Human Bondage,Of Human Bondage,eng,1915
2876,18879761,54,Gayle Forman,I Was Here,I Was Here,eng,2015
2877,99110,45,"A.A. Milne, Ernest H. Shepard",,"The Complete Tales and Poems of Winnie-the-Pooh (Winnie-the-Pooh, #1-4)",en-US,1961
2878,32527,52,Lisa Gardner,,"Alone (Detective D.D. Warren, #1)",en-US,2004
2880,17383994,26,Veronica Roth,,"Divergent Series Complete Box Set (Divergent, #1-3)",en-US,2013
2881,116296,61,Terry Pratchett,Making Money,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",en-US,2007
2882,7074000,64,Nora Roberts,Happy Ever After,"Happy Ever After (Bride Quartet, #4)",eng,2010
2883,10908,44,Jodi Picoult,Harvesting the Heart,Harvesting the Heart,eng,1993
2884,16150830,35,Alexandra Bracken,Never Fade,"Never Fade (The Darkest Minds, #2)",eng,2013
2885,3257136,103,"Vicki Myron, Bret Witter",Dewey: The Small-Town Library Cat Who Touched the World,Dewey: The Small-Town Library Cat Who Touched the World,eng,2008
2886,16248113,40,Soman Chainani,The School for Good and Evil,"The School for Good and Evil (The School for Good and Evil, #1)",eng,2013
2887,30259,37,Kim Harrison,For a Few Demons More,"For a Few Demons More (The Hollows, #5)",en-US,2007
2888,20821043,44,Tana French,The Secret Place,"The Secret Place (Dublin Murder Squad, #5)",eng,2014
2889,6604209,15,Brandon Sanderson,Mistborn Trilogy Boxed Set,"Mistborn Trilogy Boxed Set (Mistborn, #1-3)",en-US,2009
2890,227729,79,Jeffery Deaver,,"The Coffin Dancer (Lincoln Rhyme, #2)",en-US,1998
2891,6545536,26,Gordon Korman,The Emperor's Code,"The Emperor's Code (The 39 Clues, #8)",eng,2010
2893,11082037,74,Michael Connelly,The Drop,"The Drop (Harry Bosch, #17; Harry Bosch Universe, #21)",eng,2011
2894,500503,10,Naoko Takeuchi,美少女戦士セーラームーン 1 [Bishōjo Senshi Sailor Moon 1],"Sailor Moon, #1 (Sailor Moon, #1)",eng,1992
2895,17331349,48,"Steven D. Levitt, Stephen J. Dubner",,Think Like a Freak,eng,2014
2896,13436373,8,"Raina Telgemeier, Gurihiru",Drama,Drama,eng,2012
2897,3110,18,Sarah Vowell,Assassination Vacation,Assassination Vacation,en-US,2005
2898,92121,79,Roger Zelazny,Nine Princes in Amber,Nine Princes in Amber (The Chronicles of Amber #1),en-US,1970
2899,18144053,30,Alice Hoffman,The Museum of Extraordinary Things,The Museum of Extraordinary Things,eng,2014
2900,3220405,31,Orson Scott Card,"Ender in Exile (The Ender Quintet, #2)","Ender in Exile (Ender's Saga, #1.2)",en-US,2008
2901,421129,38,MaryJanice Davidson,Undead and Unwed,"Undead and Unwed (Undead, #1)",en-US,2004
2902,4005,143,Paulo Coelho,O Monte Cinco,The Fifth Mountain,eng,1996
2903,35519,46,"Joseph Campbell, Bill Moyers",The Power of Myth,The Power of Myth,en-GB,1988
2904,21418013,29,John Scalzi,Lock In,"Lock In (Lock In, #1)",eng,2014
2905,17380041,64,Jo Baker,Longbourn,Longbourn,eng,2013
2906,21412202,1,"Cary Elwes, Joe Layden, Various, Rob Reiner",As You Wish: Inconceivable Tales from the Making of The Princess Bride,As You Wish: Inconceivable Tales from the Making of The Princess Bride,eng,2014
2908,13522285,36,Robyn Schneider,"Severed Heads, Broken Hearts",The Beginning of Everything,eng,2013
2909,6389704,34,Jude Watson,"In Too Deep (The 39 Clues, Book 6)","In Too Deep (The 39 Clues, #6)",eng,2009
2910,138269,73,"Frank W. Abagnale, Stan Redding",Catch Me If You Can,Catch Me If You Can: The True Story of a Real Fake,eng,1980
2911,30248,38,Laurell K. Hamilton,"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)","Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",eng,2001
2912,119760,45,Gary Zukav,,The Seat of the Soul,en-US,1989
2913,16099159,32,J. Kenner,Claim Me,"Claim Me (Stark Trilogy, #2)",eng,2013
2914,3483,52,Marisha Pessl,Special Topics in Calamity Physics,Special Topics in Calamity Physics,eng,2006
2915,18498558,49,Josh Malerman,Bird Box,Bird Box,eng,2014
2916,12476820,37,Dan Wells,Partials,"Partials (Partials Sequence, #1)",en-US,2012
2917,72223,19,Timothy Egan,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,en-US,2006
2918,17802747,29,Ellen Marie Wiseman,What She Left Behind,What She Left Behind,eng,2013
2919,3047850,42,Sara Shepard,Wicked,"Wicked (Pretty Little Liars, #5)",eng,2008
2920,184655,46,Vince Flynn,Transfer of Power,"Transfer of Power (Mitch Rapp, #3)",eng,1999
2921,395090,67,Sylvia Plath,Ariel,Ariel,eng,1965
2922,13223349,27,"Scott Snyder, Greg Capullo, Jonathan Glapion","Batman, Volume 1: The Court of Owls","Batman, Volume 1: The Court of Owls",eng,2012
2923,33457,47,Christopher Moore,Practical Demonkeeping,"Practical Demonkeeping (Pine Cove, #1)",en-US,1992
2924,46438,99,Raymond Khoury,The Last Templar,"The Last Templar (Templar, #1)",eng,2006
2925,6534932,11,Kathy Griffin,Official Book Club Selection: A Memoir According to Kathy Griffin,Official Book Club Selection: A Memoir According to Kathy Griffin,en-US,2009
2926,240976,112,"Milan Kundera, Aaron Asher",Kniha smíchu a zapomnění,The Book of Laughter and Forgetting,eng,1979
2927,479415,111,Nicholas Evans,The Horse Whisperer,The Horse Whisperer,en-US,1995
2929,3047851,23,Sara Shepard,Wanted,"Wanted (Pretty Little Liars, #8)",en-US,2010
2930,1225621,29,Kim Harrison,The Outlaw Demon Wails,"The Outlaw Demon Wails (The Hollows, #6)",en-US,2008
2931,433567,566,"Edwin A. Abbott, Banesh Hoffmann",Flatland: A Romance of Many Dimensions,Flatland: A Romance of Many Dimensions,en-US,1884
2932,7728889,48,Libba Bray,The Diviners,"The Diviners (The Diviners, #1)",en-US,2012
2933,3798703,38,Tim Tharp,The Spectacular Now,The Spectacular Now,eng,2008
2934,14142,172,"Erich Fromm, Peter D. Kramer, Rainer Funk",The Art of Loving,The Art of Loving,eng,1956
2936,64218,80,Terry Pratchett,Eric,"Eric (Discworld, #9; Rincewind #4)",en-US,1990
2937,25102,33,"Neil Gaiman, Shawn McManus, Colleen Doran, Bryan Talbot, George Pratt, Stan Woch, Dick Giordano, Todd Klein",The Sandman: A Game of You,A Game of You (The Sandman #5),eng,1993
2939,16729,57,Pat Conroy,Beach Music,Beach Music,eng,1975
2940,46601,27,Francine Rivers,"An Echo in the Darkness (Mark of the Lion, #2)","An Echo in the Darkness (Mark of the Lion, #2)",en-US,1994
2941,16429619,16,Mary E. Pearson,The Kiss of Deception,"The Kiss of Deception (The Remnant Chronicles, #1)",eng,2014
2942,42933,92,James Clavell,Tai-Pan,"Tai-Pan (Asian Saga, #2)",eng,1966
2943,8573020,36,Eleanor Brown,The Weird Sisters,The Weird Sisters,en-US,2011
2944,34498,61,Terry Pratchett,The Truth,"The Truth (Discworld, #25; Industrial Revolution, #2)",eng,2000
2945,10762469,53,Tom Perrotta,The Leftovers,The Leftovers,en-US,2011
2946,66354,66,Mihaly Csikszentmihalyi,Flow: The Psychology of Optimal Experience,Flow: The Psychology of Optimal Experience,eng,1990
2947,23454,60,"Margaret Weis, Tracy Hickman",,"Dragons of Winter Night (Dragonlance: Chronicles, #2)",eng,1985
2949,693016,52,Lisa Kleypas,Mine Till Midnight,"Mine Till Midnight (The Hathaways, #1)",eng,2007
2950,96123,63,"Carl Bernstein, Bob Woodward",All the President's Men,All the President's Men,eng,1974
2951,7263429,40,Andrea Cremer,,Wolfsbane (Nightshade #2; Nightshade World #5),eng,2011
2952,20564,529,"George Eliot, A.S. Byatt",The Mill on the Floss,The Mill on the Floss,eng,1860
2953,7334201,49,Gary Shteyngart,Super Sad True Love Story,Super Sad True Love Story,eng,2010
2955,13570854,37,J.R. Ward,Lover at Last,"Lover at Last (Black Dagger Brotherhood, #11)",eng,2013
2956,10661081,7,"Michelle Rowen, Richelle Mead",,Vampire Academy: The Ultimate Guide (Vampire Academy),eng,2011
2957,121732,77,C.S. Lewis,Surprised by Joy: The Shape of My Early Life,Surprised by Joy: The Shape of My Early Life,eng,1955
2958,24113,48,Douglas R. Hofstadter,"Gödel, Escher, Bach: An Eternal Golden Braid","Gödel, Escher, Bach: An Eternal Golden Braid",eng,1979
2959,153780,25,Tamora Pierce,Trickster's Queen,"Trickster's Queen (Daughter of the Lioness, #2)",eng,2004
2960,95819,19,"Robert Frost, Edward Connery Lathem",,"The Poetry of Robert Frost (Collected Poems, Complete & Unabridged)",eng,1969
2961,8953,43,Rodman Philbrick,Freak the Mighty,"Freak the Mighty (Freak The Mighty, #1)",eng,1993
2962,15790873,40,Jennifer E. Smith,This Is What Happy Looks Like,"This Is What Happy Looks Like (This is What Happy Looks Like, #1)",eng,2013
2963,53817,40,Philip Yancey,What's So Amazing About Grace?,What's So Amazing About Grace?,en-US,1997
2964,10816297,35,Vince Flynn,Kill Shot,"Kill Shot (Mitch Rapp, #2)",eng,2012
2965,74389,116,Jean M. Auel,The Plains of Passage,"The Plains of Passage (Earth's Children, #4)",en-US,1990
2966,17733898,70,Jeff Kinney,Hard Luck,"Hard Luck (Diary of a Wimpy Kid, #8)",eng,2013
2967,9838,92,"Åsne Seierstad, Ingrid Christopherson",Bokhandleren i Kabul,The Bookseller of Kabul,en-US,2002
2968,833710,46,D.J. MacHale,The Merchant of Death,"The Merchant of Death (Pendragon, #1)",eng,2002
2969,4703581,57,China Miéville,The City & The City,The City & the City,eng,2009
2971,4345498,32,Ilona Andrews,Magic Strikes,"Magic Strikes (Kate Daniels, #3)",eng,2009
2972,15748898,30,Chelsea M. Cameron,My Favorite Mistake,"My Favorite Mistake (My Favorite Mistake, #1)",en-US,2012
2973,124918,76,Arthur Hailey,Airport,Airport,eng,1968
2974,7201913,39,James Patterson,Angel,"Angel (Maximum Ride, #7)",en-US,2011
2975,4983,2,"Harold Bloom, Terry Southern, David H. Goldsmith, James Lundquist, Lawrence R. Broer, Peter J. Reed, Loree Rackstraw, William S. Doxey, Jerome Klinkowitz, Richard Giannone, John L. Simons, Leonard Mustazza, Zoltan Ab di-Nagy, Peter Freese, Wendy B. Faris",Kurt Vonnegut's Cat Cradle,Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),eng,2002
2976,91248,55,"Beverly Cleary, Alan Tiegreen",Ramona the Brave,"Ramona the Brave (Ramona, #3)",eng,1975
2977,216422,48,Timothy Zahn,Star Wars: The Last Command,The Last Command,eng,1993
2978,13578175,20,Brandon Sanderson,The Emperor's Soul,The Emperor's Soul,eng,2012
2979,2906039,79,Stephen King,Just After Sunset,Just After Sunset,eng,2008
2980,201114,35,Patricia McCormick,Sold,Sold,eng,2006
2981,552887,69,James Patterson,Double Cross,"Double Cross (Alex Cross, #13)",eng,2007
2982,27822,57,"Alexander Pushkin, James E. Falen",Евгений Онегин: Роман в стихах,Eugene Onegin,eng,1833
2983,13138635,31,"Amie Kaufman, Meagan Spooner",These Broken Stars,"These Broken Stars (Starbound, #1)",eng,2013
2984,2986865,62,Alison Goodman,The Two Pearls of Wisdom,"Eon: Dragoneye Reborn (Eon, #1)",en-US,2008
2986,7933615,49,"P.C. Cast, Kristin Cast",Hidden,"Hidden (House of Night, #10)",en-US,2012
2987,11454587,34,Rachel Hawkins,Spell Bound,"Spell Bound (Hex Hall, #3)",eng,2012
2988,32979,44,"Carolyn Keene, Russell H. Tandy, Sara Paretsky","The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)","The Secret of the Old Clock (Nancy Drew, #1)",eng,1930
2989,33810,62,Nelson DeMille,Plum Island,"Plum Island (John Corey, #1)",eng,1997
2991,10911,42,Jodi Picoult,Second Glance,Second Glance,en-US,2003
2992,94803,54,Arnold Lobel,Frog and Toad Together,"Frog and Toad Together (Frog and Toad, #2)",eng,1971
2993,6219656,25,Shirley Jackson,The Lottery,The Lottery,eng,1948
2994,58822,56,Adriana Trigiani,Big Stone Gap,"Big Stone Gap (Big Stone Gap, #1)",eng,2000
2995,74824,62,Steve Berry,The Alexandria Link,"The Alexandria Link (Cotton Malone, #2)",eng,2007
2996,7896345,25,Kelley Armstrong,The Gathering,"The Gathering (Darkness Rising, #1)",en-US,2011
2997,9833184,25,Richelle Mead,The Fiery Heart,"The Fiery Heart (Bloodlines, #4)",eng,2013
2998,6479550,26,Ilona Andrews,Magic Bleeds,"Magic Bleeds (Kate Daniels, #4)",eng,2010
2999,25152052,57,"Isabel Allende, Nick Caistor, Amanda Hopkinson",El amante japonés,The Japanese Lover,eng,2015
3000,47990,65,Terry Pratchett,Jingo,"Jingo (Discworld, #21; City Watch, #4)",eng,1997
3001,704043,53,Lara Adrian,Kiss of Midnight,"Kiss of Midnight (Midnight Breed,  #1)",eng,2007
